n	mu	T
900	1.0	9.202867
900	2.0	0.907594
900	4.0	0.322447
900	6.0	0.196033
910	1.0	10.062922
910	2.0	0.915893
910	4.0	0.323489
910	6.0	0.196418
920	1.0	11.086639
920	2.0	0.924345
920	4.0	0.324539
920	6.0	0.196805
930	1.0	12.321679
930	2.0	0.932954
930	4.0	0.325595
930	6.0	0.197193
940	1.0	13.834620
940	2.0	0.941724
940	4.0	0.326658
940	6.0	0.197582
950	1.0	15.720563
950	2.0	0.950661
950	4.0	0.327728
950	6.0	0.197973
960	1.0	18.118745
960	2.0	0.959769
960	4.0	0.328805
960	6.0	0.198366
970	1.0	21.238641
970	2.0	0.969052
970	4.0	0.329889
970	6.0	0.198760
980	1.0	25.405003
980	2.0	0.978516
980	4.0	0.330981
980	6.0	0.199156
990	1.0	31.138245
990	2.0	0.988167
990	4.0	0.332079
990	6.0	0.199553
1000	1.0	39.303213
1000	2.0	0.998010
1000	4.0	0.333185
1000	6.0	0.199952
