n	lambda	T
8092	1.0e-05	1.088032
8092	1.0e-06	1.008157
8092	1.0e-07	1.000810
8092	1.0e-08	1.000081
8092	1.0e-09	1.000008
8102	1.0e-05	1.088150
8102	1.0e-06	1.008167
8102	1.0e-07	1.000811
8102	1.0e-08	1.000081
8102	1.0e-09	1.000008
8112	1.0e-05	1.088268
8112	1.0e-06	1.008177
8112	1.0e-07	1.000812
8112	1.0e-08	1.000081
8112	1.0e-09	1.000008
8122	1.0e-05	1.088387
8122	1.0e-06	1.008187
8122	1.0e-07	1.000813
8122	1.0e-08	1.000081
8122	1.0e-09	1.000008
8132	1.0e-05	1.088505
8132	1.0e-06	1.008198
8132	1.0e-07	1.00
