n	m	T
8092	1	1.088032
8092	2	0.521080
8092	3	0.342572
8092	4	0.255161
8102	1	1.088150
8102	2	0.521107
8102	3	0.342584
8102	4	0.255168
8112	1	1.088268
8112	2	0.521134
8112	3	0.342596
8112	4	0.255174
8122	1	1.088387
8122	2	0.521162
8122	3	0.342608
8122	4	0.255181
8132	1	1.088505
8132	2	0.521189
8132	3	0.342619
8132	4	0.255187
8142	1	1.088624
8142	2	0.521216
8142	3	0.342631
8142	4	0.255194
8152	1	1.088742
8152	2	0.521243
8152	3	0.342643
8152	4	0.255200
8162	1	1.088861
8162	2	0.521270
8162	3	0.342655
8162	4	0.255207
8172	1	1.088980
8172	2	0.521297
8172	3	0.342666
8172	4	0.255213
8182	1	1.089098
8182	2	0.521325
8182	3	0.342678
8182	4	0.255220
8192	1	1.089217
8192	2	1.042704
8192	3	1.042104
8192	4	1.042096
