n	mu	theta
65527	1	195.758894
65527	10	73271706601.179352
65527	100	68921460816296738816.000000
65527	1000	68514678955708481828141662208.000000
65528	1	127.274931
65528	10	4801275118.355479
65528	100	451621656290947712.000000
65528	1000	44895613679307099383791616.000000
65529	1	82.400717
65529	10	314617955.855598
65529	100	2959386389343322.500000
65529	1000	29419197731776363495424.000000
65530	1	52.996366
65530	10	20616599.929261
65530	100	19392563070727.843750
65530	1000	19278106081655734272.000000
65531	1	33.728518
65531	10	1351005.693365
65531	100	127079465802.469620
65531	1000	12632942915309006.000000
65532	1	21.102635
65532	10	88532.654092
65532	100	832764447.340164
65532	1000	8278493821831.144531
65533	1	12.828979
65533	10	5801.621888
65533	100	5457271.966310
65533	1000	5425062571.321384
65534	1	7.407215
65534	10	380.097687
65534	100	35763.130377
65534	1000	3555206.253864
65535	1	3.854244
65535	10	24.809322
65535	100	234.360099
65535	1000	2329.867866
65536	1	1.525879
65536	10	1.525879
65536	100	1.525879
65536	1000	1.525879
