n	lambda	theta
65527	1e-05	195.758894
65527	1e-06	732717066011.794556
65527	1e-07	6892146081629683580928.000000
65527	1e-08	68514678955708560711503885369344.000000
65527	1e-09	684742647055646799919824531863557113905152.000000
65528	1e-05	127.274931
65528	1e-06	48012751183.554840
65528	1e-07	45162165629094830080.000000
65528	1e-08	44895613679307152366508179456.000000
65528	1e-09	44869131433615364034630031537034231808.000000
65529	1e-05	82.400717
65529	1e-06	3146179558.555983
65529	1e-07	295938638934332544.000000
65529	1e-08	29419197731776384332726272.000000
65529	1e-09	2940184444581947549682389475131392.000000
65530	1e-05	52.996366
65530	1e-06	206165999.292615
65530	1e-07	1939256307072786.750000
65530	1e-08	19278106081655751966720.000000
65530	1e-09	192667346469010465834414374912.000000
65531	1e-05	33.728518
65531	1e-06	13510056.933645
65531	1e-07	12707946580246.970703
65531	1e-08	12632942915309012992.000000
65531	1e-09	12625491214114255334801408.000000
65532	1e-05	21.102635
65532	1e-06	885326.540919
65532	1e-07	83276444734.016434
65532	1e-08	8278493821831148.000000
65532	1e-09	827361064752121380864.000000
65533	1e-05	12.828979
65533	1e-06	58016.218879
65533	1e-07	545727196.630956
65533	1e-08	5425062571321.388672
65533	1e-09	54218625295336032.000000
65534	1e-05	7.407215
65534	1e-06	3800.976872
65534	1e-07	3576313.037682
65534	1e-08	3555206253.864045
65534	1e-09	3553109171478.255859
65535	1e-05	3.854244
65535	1e-06	248.093218
65535	1e-07	23436.009861
65535	1e-08	2329867.866407
65535	1e-09	232849455.443656
65536	1e-05	1.525879
65536	1e-06	15.258789
65536	1e-07	152.587891
65536	1e-08	1525.878906
65536	1e-09	15258.789062
