n	m	theta
65527	1	195.758894
65527	2	34613.423871
65527	3	578047.053518
65527	4	3241253.178324
65528	1	127.274931
65528	2	11340.069130
65528	3	126258.630920
65528	4	530973.742540
65529	1	82.400717
65529	2	3714.960250
65529	3	27577.918556
65529	4	86983.868503
65530	1	52.996366
65530	2	1216.688151
65530	3	6023.511417
65530	4	14249.664798
65531	1	33.728518
65531	2	398.147873
65531	3	1315.402344
65531	4	2334.201336
65532	1	21.102635
65532	2	129.955141
65532	3	286.998770
65532	4	382.156369
65533	1	12.828979
65533	2	42.081102
65533	3	62.358678
65533	4	62.358678
65534	1	7.407215
65534	2	13.288504
65534	3	13.288504
65534	4	13.288504
65535	1	3.854244
65535	2	3.854244
65535	3	3.854244
65535	4	3.854244
65536	1	1.525879
65536	2	1.525879
65536	3	1.525879
65536	4	1.525879
